# #GHz real imag
5.139999999999999858e+01 -1.197447981538507372e-01 -5.357682011937142663e-02
5.141250000000000142e+01 -1.318132301605613177e-01 -2.583144807740813190e-02
5.142499999999999716e+01 -1.363688728805514672e-01 4.171941724683674371e-03
5.143750000000000000e+01 -1.332267210644973443e-01 3.428538985357947738e-02
5.145000000000000284e+01 -1.228044227623484030e-01 6.254189924098703390e-02
5.146249999999999858e+01 -1.058387674818098145e-01 8.764135927041701024e-02
5.147500000000000142e+01 -8.296006533025249152e-02 1.081669691929447313e-01
5.148749999999999716e+01 -5.525939502108350582e-02 1.226145641075157278e-01
5.150000000000000000e+01 -2.479303065461009245e-02 1.296845091208002620e-01
5.151250000000000284e+01 6.369998919224587053e-03 1.290314692478601033e-01
5.152499999999999858e+01 3.663899509654218456e-02 1.210482390133818947e-01
5.153750000000000142e+01 6.443700750040760872e-02 1.060294597207768197e-01
5.154999999999999716e+01 8.802138058231728790e-02 8.445652819339102835e-02
5.156250000000000000e+01 1.055705942890215188e-01 5.768075750375535604e-02
5.157500000000000284e+01 1.160041507771338853e-01 2.741407754254705093e-02
5.158749999999999858e+01 1.190638629198943338e-01 -4.120927860151920967e-03
5.160000000000000142e+01 1.146782812098901955e-01 -3.548243249598251325e-02
5.161249999999999716e+01 1.029195261830799235e-01 -6.502697914355394515e-02
5.162500000000000000e+01 8.410533014483728698e-02 -9.065275360265356852e-02
5.163750000000000284e+01 5.991298494401497282e-02 -1.105411777203109402e-01
5.164999999999999858e+01 3.203699973956667529e-02 -1.238979045300340059e-01
5.166250000000000142e+01 2.219237345827828386e-03 -1.303395897713205687e-01
5.167499999999999716e+01 -2.811386188790709548e-02 -1.294013294169840123e-01
5.168750000000000000e+01 -5.708402273800992216e-02 -1.210234134199191791e-01
5.170000000000000284e+01 -8.259848974752263817e-02 -1.058774466270847175e-01
5.171249999999999858e+01 -1.031790121045282754e-01 -8.549724524858448582e-02
5.172500000000000142e+01 -1.180102110397737852e-01 -6.130021715064918469e-02
5.173749999999999716e+01 -1.265411161964299647e-01 -3.465309463318760191e-02
5.175000000000000000e+01 -1.280541617553871414e-01 -6.941301424872595854e-03
5.176250000000000284e+01 -1.226632132130375946e-01 1.993183759284700152e-02
5.177499999999999858e+01 -1.107179331549891788e-01 4.426485204600090484e-02
5.178750000000000142e+01 -9.351082593815752964e-02 6.450976188089675711e-02
5.179999999999999716e+01 -7.212911263782881277e-02 7.959697850700953037e-02
5.181250000000000000e+01 -4.777344775457333104e-02 8.882218341523601124e-02
5.182500000000000284e+01 -2.185766449697011324e-02 9.136700091263515178e-02
5.183749999999999858e+01 3.595314086375275917e-03 8.698075835947498280e-02
5.185000000000000142e+01 2.661107957558268150e-02 7.616903560780141635e-02
5.186249999999999716e+01 4.596757203367701772e-02 6.000665246533747749e-02
5.187500000000000000e+01 6.056828088321260239e-02 3.944282022553308870e-02
5.188750000000000284e+01 6.939651028189525173e-02 1.558064952650430740e-02
5.189999999999999858e+01 7.163057448828609453e-02 -1.005862863750732993e-02
5.191250000000000142e+01 6.697385986437212613e-02 -3.539322259530414821e-02
5.192499999999999716e+01 5.612651596563304063e-02 -5.852247936507620762e-02
5.193750000000000000e+01 3.976321480819363513e-02 -7.806636971255892510e-02
5.195000000000000284e+01 1.823080481252868298e-02 -9.305019979430345645e-02
5.196249999999999858e+01 -7.213647420432316680e-03 -1.019350511915496499e-01
5.197500000000000142e+01 -3.430483728813663730e-02 -1.039752930846662288e-01
5.198749999999999716e+01 -6.103184981255677100e-02 -9.906280203253377270e-02
5.200000000000000000e+01 -8.589821532404347260e-02 -8.768289954123800745e-02
5.201250000000000284e+01 -1.075434495595033041e-01 -7.043306566309338879e-02
5.202499999999999858e+01 -1.247762818757706810e-01 -4.813251538949961383e-02
5.203750000000000142e+01 -1.361005113366916264e-01 -2.164222813736292259e-02
5.204999999999999716e+01 -1.406290020473056346e-01 7.063696952183297871e-03
5.206250000000000000e+01 -1.382050100212885713e-01 3.607006002036024228e-02
5.207500000000000284e+01 -1.291914964047964909e-01 6.420789264717724487e-02
5.208749999999999858e+01 -1.136385622565562192e-01 9.033023650384058856e-02
5.210000000000000142e+01 -9.118100137554702167e-02 1.123641062911758803e-01
5.211249999999999716e+01 -6.408518032875347437e-02 1.274132560114769885e-01
5.212500000000000000e+01 -3.484875983145131750e-02 1.363281153713891969e-01
5.213750000000000284e+01 -4.395369180754427584e-03 1.389978821667024744e-01
5.214999999999999858e+01 2.657121864407462064e-02 1.347499838457740240e-01
5.216250000000000142e+01 5.632188223618755929e-02 1.233778943263947048e-01
5.217499999999999716e+01 8.302663152012879078e-02 1.051205323348890081e-01
5.218750000000000000e+01 1.048257331110473284e-01 8.096106533840530251e-02
5.220000000000000284e+01 1.204508543721998087e-01 5.253821626782744642e-02
5.221249999999999858e+01 1.289851531937991902e-01 2.139764581873378202e-02
5.222500000000000142e+01 1.301493096855420029e-01 -1.099413976121890735e-02
5.223749999999999716e+01 1.237685791603795188e-01 -4.289739997384713760e-02
5.225000000000000000e+01 1.101490799105613871e-01 -7.239032044924881282e-02
5.226250000000000284e+01 9.025503508608538616e-02 -9.771173365660545951e-02
5.227499999999999858e+01 6.523424268542961368e-02 -1.178248153252912656e-01
5.228750000000000142e+01 3.639272687739369960e-02 -1.317952640994204672e-01
5.229999999999999716e+01 4.859263481971094062e-03 -1.385945275520651387e-01
5.231250000000000000e+01 -2.723973930445400954e-02 -1.376595658257537547e-01
5.232500000000000284e+01 -5.772211300450119653e-02 -1.291486552169565372e-01
5.233749999999999858e+01 -8.488242374213883501e-02 -1.140422098930039818e-01
5.235000000000000142e+01 -1.076512322937279581e-01 -9.323239970815061506e-02
5.236249999999999716e+01 -1.248893503505797836e-01 -6.774410414468899633e-02
5.237500000000000000e+01 -1.354718590679231949e-01 -3.891522412167165712e-02
5.238750000000000284e+01 -1.384227117924908823e-01 -8.717170167823978452e-03
5.239999999999999858e+01 -1.340560874486466381e-01 2.071066015861850601e-02
